algoritmo,tamanho,tempo_medio_s,comparacoes_pior_caso,atribuicoes_pior_caso
inverter,1000,0.000000403,501,2502
buscaSequencial,1000,0.000000521,2001,1001
buscaBinariaIterativa,1000,0.000000030,0,0
buscaBinariaRecursiva,1000,0.000000030,0,0
inverter,50000,0.000017750,25001,125002
buscaSequencial,50000,0.000024338,100001,50001
buscaBinariaIterativa,50000,0.000000029,0,0
buscaBinariaRecursiva,50000,0.000000030,0,0
inverter,100000,0.000036330,50001,250002
buscaSequencial,100000,0.000048707,200001,100001
buscaBinariaIterativa,100000,0.000000028,0,0
buscaBinariaRecursiva,100000,0.000000028,0,0
inverter,500000,0.000198001,250001,1250002
buscaSequencial,500000,0.000254083,1000001,500001
buscaBinariaIterativa,500000,0.000000028,0,0
buscaBinariaRecursiva,500000,0.000000030,0,0
inverter,1000000,0.000477280,500001,2500002
buscaSequencial,1000000,0.000555682,2000001,1000001
buscaBinariaIterativa,1000000,0.000000033,0,0
buscaBinariaRecursiva,1000000,0.000000032,0,0
