algoritmo,tamanho,repeticao,tempo_s
buscaBinariaIterativa,1000,1,0.000000050
buscaBinariaIterativa,1000,2,0.000000060
buscaBinariaIterativa,1000,3,0.000000040
buscaBinariaIterativa,1000,4,0.000000050
buscaBinariaIterativa,1000,5,0.000000040
buscaBinariaIterativa,1000,6,0.000000040
buscaBinariaIterativa,1000,7,0.000000040
buscaBinariaIterativa,1000,8,0.000000050
buscaBinariaIterativa,1000,9,0.000000040
buscaBinariaIterativa,1000,10,0.000000050
buscaBinariaIterativa,1000,11,0.000000040
buscaBinariaIterativa,1000,12,0.000000041
buscaBinariaIterativa,1000,13,0.000000050
buscaBinariaIterativa,1000,14,0.000000040
buscaBinariaIterativa,1000,15,0.000000040
buscaBinariaIterativa,1000,16,0.000000040
buscaBinariaIterativa,1000,17,0.000000040
buscaBinariaIterativa,1000,18,0.000000040
buscaBinariaIterativa,1000,19,0.000000040
buscaBinariaIterativa,1000,20,0.000000041
buscaBinariaIterativa,1000,21,0.000000040
buscaBinariaIterativa,1000,22,0.000000050
buscaBinariaIterativa,1000,23,0.000000040
buscaBinariaIterativa,1000,24,0.000000040
buscaBinariaIterativa,1000,25,0.000000040
buscaBinariaIterativa,1000,26,0.000000040
buscaBinariaIterativa,1000,27,0.000000050
buscaBinariaIterativa,1000,28,0.000000040
buscaBinariaIterativa,1000,29,0.000000050
buscaBinariaIterativa,1000,30,0.000000040
buscaBinariaIterativa,1000,31,0.000000050
buscaBinariaIterativa,1000,32,0.000000050
buscaBinariaIterativa,1000,33,0.000000040
buscaBinariaIterativa,1000,34,0.000000051
buscaBinariaIterativa,1000,35,0.000000040
buscaBinariaIterativa,1000,36,0.000000040
buscaBinariaIterativa,1000,37,0.000000050
buscaBinariaIterativa,1000,38,0.000000040
buscaBinariaIterativa,1000,39,0.000000040
buscaBinariaIterativa,1000,40,0.000000040
buscaBinariaIterativa,1000,41,0.000000050
buscaBinariaIterativa,1000,42,0.000000040
buscaBinariaIterativa,1000,43,0.000000040
buscaBinariaIterativa,1000,44,0.000000040
buscaBinariaIterativa,1000,45,0.000000050
buscaBinariaIterativa,1000,46,0.000000040
buscaBinariaIterativa,1000,47,0.000000040
buscaBinariaIterativa,1000,48,0.000000051
buscaBinariaIterativa,1000,49,0.000000040
buscaBinariaIterativa,1000,50,0.000000050
buscaBinariaIterativa,1000,51,0.000000040
buscaBinariaIterativa,1000,52,0.000000040
buscaBinariaIterativa,1000,53,0.000000040
buscaBinariaIterativa,1000,54,0.000000050
buscaBinariaIterativa,1000,55,0.000000040
buscaBinariaIterativa,1000,56,0.000000050
buscaBinariaIterativa,1000,57,0.000000040
buscaBinariaIterativa,1000,58,0.000000050
buscaBinariaIterativa,1000,59,0.000000040
buscaBinariaIterativa,1000,60,0.000000050
buscaBinariaIterativa,1000,61,0.000000040
buscaBinariaIterativa,1000,62,0.000000051
buscaBinariaIterativa,1000,63,0.000000040
buscaBinariaIterativa,1000,64,0.000000050
buscaBinariaIterativa,1000,65,0.000000040
buscaBinariaIterativa,1000,66,0.000000040
buscaBinariaIterativa,1000,67,0.000000050
buscaBinariaIterativa,1000,68,0.000000040
buscaBinariaIterativa,1000,69,0.000000040
buscaBinariaIterativa,1000,70,0.000000040
buscaBinariaIterativa,1000,71,0.000000040
buscaBinariaIterativa,1000,72,0.000000040
buscaBinariaIterativa,1000,73,0.000000040
buscaBinariaIterativa,1000,74,0.000000040
buscaBinariaIterativa,1000,75,0.000000050
buscaBinariaIterativa,1000,76,0.000000041
buscaBinariaIterativa,1000,77,0.000000050
buscaBinariaIterativa,1000,78,0.000000040
buscaBinariaIterativa,1000,79,0.000000050
buscaBinariaIterativa,1000,80,0.000000040
buscaBinariaIterativa,1000,81,0.000000050
buscaBinariaIterativa,1000,82,0.000000040
buscaBinariaIterativa,1000,83,0.000000050
buscaBinariaIterativa,1000,84,0.000000040
buscaBinariaIterativa,1000,85,0.000000040
buscaBinariaIterativa,1000,86,0.000000050
buscaBinariaIterativa,1000,87,0.000000040
buscaBinariaIterativa,1000,88,0.000000050
buscaBinariaIterativa,1000,89,0.000000040
buscaBinariaIterativa,1000,90,0.000000051
buscaBinariaIterativa,1000,91,0.000000040
buscaBinariaIterativa,1000,92,0.000000040
buscaBinariaIterativa,1000,93,0.000000040
buscaBinariaIterativa,1000,94,0.000000050
buscaBinariaIterativa,1000,95,0.000000040
buscaBinariaIterativa,1000,96,0.000000050
buscaBinariaIterativa,1000,97,0.000000040
buscaBinariaIterativa,1000,98,0.000000051
buscaBinariaIterativa,1000,99,0.000000040
buscaBinariaIterativa,1000,100,0.000000050
buscaBinariaIterativa,50000,1,0.000000070
buscaBinariaIterativa,50000,2,0.000000060
buscaBinariaIterativa,50000,3,0.000000050
buscaBinariaIterativa,50000,4,0.000000050
buscaBinariaIterativa,50000,5,0.000000051
buscaBinariaIterativa,50000,6,0.000000050
buscaBinariaIterativa,50000,7,0.000000050
buscaBinariaIterativa,50000,8,0.000000060
buscaBinariaIterativa,50000,9,0.000000050
buscaBinariaIterativa,50000,10,0.000000050
buscaBinariaIterativa,50000,11,0.000000050
buscaBinariaIterativa,50000,12,0.000000051
buscaBinariaIterativa,50000,13,0.000000050
buscaBinariaIterativa,50000,14,0.000000050
buscaBinariaIterativa,50000,15,0.000000050
buscaBinariaIterativa,50000,16,0.000000050
buscaBinariaIterativa,50000,17,0.000000060
buscaBinariaIterativa,50000,18,0.000000050
buscaBinariaIterativa,50000,19,0.000000050
buscaBinariaIterativa,50000,20,0.000000051
buscaBinariaIterativa,50000,21,0.000000050
buscaBinariaIterativa,50000,22,0.000000060
