algoritmo,tamanho,repeticao,tempo_s
inverter,1000,1,0.000000383
inverter,1000,2,0.000000360
inverter,1000,3,0.000000376
inverter,1000,4,0.000000353
inverter,1000,5,0.000000353
inverter,1000,6,0.000000374
inverter,1000,7,0.000000373
inverter,1000,8,0.000000354
inverter,1000,9,0.000000359
inverter,1000,10,0.000000373
inverter,1000,11,0.000000385
inverter,1000,12,0.000000373
inverter,1000,13,0.000000404
inverter,1000,14,0.000000353
inverter,1000,15,0.000000352
inverter,1000,16,0.000000352
inverter,1000,17,0.000000373
inverter,1000,18,0.000000353
inverter,1000,19,0.000000351
inverter,1000,20,0.000000353
inverter,1000,21,0.000000352
inverter,1000,22,0.000000349
inverter,1000,23,0.000000352
inverter,1000,24,0.000000370
inverter,1000,25,0.000000353
inverter,1000,26,0.000000359
inverter,1000,27,0.000000351
inverter,1000,28,0.000000351
inverter,1000,29,0.000000351
inverter,1000,30,0.000000352
inverter,1000,31,0.000000352
inverter,1000,32,0.000000372
inverter,1000,33,0.000000373
inverter,1000,34,0.000000352
inverter,1000,35,0.000000352
inverter,1000,36,0.000000353
inverter,1000,37,0.000000373
inverter,1000,38,0.000000371
inverter,1000,39,0.000000372
inverter,1000,40,0.000000352
inverter,1000,41,0.000000353
inverter,1000,42,0.000000372
inverter,1000,43,0.000000352
inverter,1000,44,0.000000353
inverter,1000,45,0.000000354
inverter,1000,46,0.000000375
inverter,1000,47,0.000000352
inverter,1000,48,0.000000353
inverter,1000,49,0.000000353
inverter,1000,50,0.000000360
inverter,1000,51,0.000000353
inverter,1000,52,0.000000375
inverter,1000,53,0.000000354
inverter,1000,54,0.000000534
inverter,1000,55,0.000000379
inverter,1000,56,0.000000381
inverter,1000,57,0.000000438
inverter,1000,58,0.000000418
inverter,1000,59,0.000000417
inverter,1000,60,0.000000416
inverter,1000,61,0.000000415
inverter,1000,62,0.000000416
inverter,1000,63,0.000000417
inverter,1000,64,0.000000417
inverter,1000,65,0.000000418
inverter,1000,66,0.000000417
inverter,1000,67,0.000000417
inverter,1000,68,0.000000418
inverter,1000,69,0.000000417
inverter,1000,70,0.000000417
inverter,1000,71,0.000000416
inverter,1000,72,0.000000417
inverter,1000,73,0.000000417
inverter,1000,74,0.000000426
inverter,1000,75,0.000000417
inverter,1000,76,0.000000415
inverter,1000,77,0.000000417
inverter,1000,78,0.000000416
inverter,1000,79,0.000000415
inverter,1000,80,0.000000419
inverter,1000,81,0.000000417
inverter,1000,82,0.000000417
inverter,1000,83,0.000000417
inverter,1000,84,0.000000416
inverter,1000,85,0.000000418
inverter,1000,86,0.000000418
inverter,1000,87,0.000000417
inverter,1000,88,0.000000417
inverter,1000,89,0.000000640
inverter,1000,90,0.000000456
inverter,1000,91,0.000000449
inverter,1000,92,0.000000419
inverter,1000,93,0.000000418
inverter,1000,94,0.000000416
inverter,1000,95,0.000000418
inverter,1000,96,0.000000418
inverter,1000,97,0.000000418
inverter,1000,98,0.000000418
inverter,1000,99,0.000000418
inverter,1000,100,0.000000419
buscaSequencial,1000,1,0.000000040
buscaSequencial,1000,2,0.000000030
buscaSequencial,1000,3,0.000000029
buscaSequencial,1000,4,0.000000032
buscaSequencial,1000,5,0.000000030
buscaSequencial,1000,6,0.000000030
buscaSequencial,1000,7,0.000000031
buscaSequencial,1000,8,0.000000030
buscaSequencial,1000,9,0.000000029
buscaSequencial,1000,10,0.000000030
buscaSequencial,1000,11,0.000000031
buscaSequencial,1000,12,0.000000031
buscaSequencial,1000,13,0.000000031
buscaSequencial,1000,14,0.000000031
buscaSequencial,1000,15,0.000000031
buscaSequencial,1000,16,0.000000030
buscaSequencial,1000,17,0.000000029
buscaSequencial,1000,18,0.000000030
buscaSequencial,1000,19,0.000000030
buscaSequencial,1000,20,0.000000031
buscaSequencial,1000,21,0.000000032
buscaSequencial,1000,22,0.000000031
buscaSequencial,1000,23,0.000000031
buscaSequencial,1000,24,0.000000031
buscaSequencial,1000,25,0.000000031
buscaSequencial,1000,26,0.000000031
buscaSequencial,1000,27,0.000000031
buscaSequencial,1000,28,0.000000031
buscaSequencial,1000,29,0.000000032
buscaSequencial,1000,30,0.000000031
buscaSequencial,1000,31,0.000000030
buscaSequencial,1000,32,0.000000031
buscaSequencial,1000,33,0.000000031
buscaSequencial,1000,34,0.000000031
buscaSequencial,1000,35,0.000000031
buscaSequencial,1000,36,0.000000031
buscaSequencial,1000,37,0.000000030
buscaSequencial,1000,38,0.000000030
buscaSequencial,1000,39,0.000000030
buscaSequencial,1000,40,0.000000032
buscaSequencial,1000,41,0.000000030
buscaSequencial,1000,42,0.000000032
buscaSequencial,1000,43,0.000000030
buscaSequencial,1000,44,0.000000031
buscaSequencial,1000,45,0.000000030
buscaSequencial,1000,46,0.000000030
buscaSequencial,1000,47,0.000000031
buscaSequencial,1000,48,0.000000032
buscaSequencial,1000,49,0.000000030
buscaSequencial,1000,50,0.000000030
buscaSequencial,1000,51,0.000000032
buscaSequencial,1000,52,0.000000031
buscaSequencial,1000,53,0.000000030
buscaSequencial,1000,54,0.000000031
buscaSequencial,1000,55,0.000000032
buscaSequencial,1000,56,0.000000030
buscaSequencial,1000,57,0.000000030
buscaSequencial,1000,58,0.000000031
buscaSequencial,1000,59,0.000000031
buscaSequencial,1000,60,0.000000031
buscaSequencial,1000,61,0.000000031
buscaSequencial,1000,62,0.000000030
buscaSequencial,1000,63,0.000000030
buscaSequencial,1000,64,0.000000030
buscaSequencial,1000,65,0.000000031
buscaSequencial,1000,66,0.000000031
buscaSequencial,1000,67,0.000000031
buscaSequencial,1000,68,0.000000030
buscaSequencial,1000,69,0.000000031
buscaSequencial,1000,70,0.000000030
buscaSequencial,1000,71,0.000000031
buscaSequencial,1000,72,0.000000032
buscaSequencial,1000,73,0.000000032
buscaSequencial,1000,74,0.000000029
buscaSequencial,1000,75,0.000000031
buscaSequencial,1000,76,0.000000031
buscaSequencial,1000,77,0.000000031
buscaSequencial,1000,78,0.000000031
buscaSequencial,1000,79,0.000000031
buscaSequencial,1000,80,0.000000031
buscaSequencial,1000,81,0.000000031
buscaSequencial,1000,82,0.000000030
buscaSequencial,1000,83,0.000000033
buscaSequencial,1000,84,0.000000030
buscaSequencial,1000,85,0.000000032
buscaSequencial,1000,86,0.000000031
buscaSequencial,1000,87,0.000000030
buscaSequencial,1000,88,0.000000030
buscaSequencial,1000,89,0.000000031
buscaSequencial,1000,90,0.000000031
buscaSequencial,1000,91,0.000000031
buscaSequencial,1000,92,0.000000030
buscaSequencial,1000,93,0.000000032
buscaSequencial,1000,94,0.000000031
buscaSequencial,1000,95,0.000000030
buscaSequencial,1000,96,0.000000033
buscaSequencial,1000,97,0.000000030
buscaSequencial,1000,98,0.000000031
buscaSequencial,1000,99,0.000000030
buscaSequencial,1000,100,0.000000030
buscaBinariaIterativa,1000,1,0.000000043
buscaBinariaIterativa,1000,2,0.000000032
buscaBinariaIterativa,1000,3,0.000000030
buscaBinariaIterativa,1000,4,0.000000031
buscaBinariaIterativa,1000,5,0.000000030
buscaBinariaIterativa,1000,6,0.000000031
buscaBinariaIterativa,1000,7,0.000000030
buscaBinariaIterativa,1000,8,0.000000032
buscaBinariaIterativa,1000,9,0.000000031
buscaBinariaIterativa,1000,10,0.000000030
buscaBinariaIterativa,1000,11,0.000000031
buscaBinariaIterativa,1000,12,0.000000032
buscaBinariaIterativa,1000,13,0.000000030
buscaBinariaIterativa,1000,14,0.000000031
